key,level,type,category,fullname,publisher,url
iccv,A,Conference,8,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/
icml,A,Conference,8,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/
ijcai,A,Conference,8,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/
colt,B,Conference,8,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/
emnlp,B,Conference,8,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/
ecai,B,Conference,8,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/
eccv,B,Conference,8,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/
icra,B,Conference,8,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/
icaps,B,Conference,8,International Conference on Automated Planning and Scheduling,AAAI,http://dblp.uni-trier.de/db/conf/aips/
iccbr,B,Conference,8,International Conference on Case-Based Reasoning and Development,Springer,http://dblp.uni-trier.de/db/conf/iccbr/
coling,B,Conference,8,International Conference on Computational Linguistics,ACM,http://dblp.uni-trier.de/db/conf/coling/
kr,B,Conference,8,International Conference on Principles of Knowledge Representation and Reasoning,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/kr/
uai,B,Conference,8,International Conference on Uncertainty in Artificial Intelligence,AUAI,http://dblp.uni-trier.de/db/conf/uai/
aamas,B,Conference,8,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,http://dblp.uni-trier.de/db/conf/atal/index.html
ppsn,B,Conference,8,Parallel Problem Solving from Nature,Springer,http://dblp.uni-trier.de/db/conf/ppsn/
naacl,B,Conference,8,The Annual Conference of the North American Chapter of the Association for Computational Linguistics,NAACL,http://dblp.uni-trier.de/db/conf/naacl/
aistats,C,Conference,8,Artificial Intelligence and Statistics,JMLR,http://dblp.uni-trier.de/db/conf/aistats/
accv,C,Conference,8,Asian Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/accv/
acml,C,Conference,8,Asian Conference on Machine Learning,JMLR,http://dblp.uni-trier.de/db/conf/acml/
bmvc,C,Conference,8,British Machine Vision Conference,British Machine Vision Association,http://dblp.uni-trier.de/db/conf/bmvc/
nlpcc,C,Conference,8,CCF International Conference on Natural Language Processing and Chinese Computing,Springer,https://dblp.uni-trier.de/db/conf/nlpcc/
conll,C,Conference,8,Conference on Computational Natural Language Learning,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/conll
gecco,C,Conference,8,Genetic and Evolutionary Computation Conference,ACM,http://dblp.uni-trier.de/db/conf/gecco/
ictai,C,Conference,8,IEEE International Conference on Tools with Artificial Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/ictai/
iros,C,Conference,8,IEEE\RSJ International Conference on Intelligent Robots and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iros/
alt,C,Conference,8,International Conference on Algorithmic Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/alt/
icann,C,Conference,8,International Conference on Artificial Neural Networks,Springer,http://dblp.uni-trier.de/db/conf/icann/
fg,C,Conference,8,International Conference on Automatic Face and Gesture Recognition,IEEE,http://dblp.uni-trier.de/db/conf/fgr/
icdar,C,Conference,8,International Conference on Document Analysis and Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icdar/
ilp,C,Conference,8,International Conference on Inductive Logic Programming,Springer,http://dblp.uni-trier.de/db/conf/ilp/
ksem,C,Conference,8,"International conference on Knowledge Science, Engineering and Management",Springer,http://dblp.uni-trier.de/db/conf/ksem/
iconip,C,Conference,8,International Conference on Neural Information Processing,Springer,http://dblp.uni-trier.de/db/conf/iconip/
icpr,C,Conference,8,International Conference on Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icpr/
icb,C,Conference,8,International Joint Conference on Biometrics,IEEE,http://dblp.uni-trier.de/db/conf/icb/
ijcnn,C,Conference,8,International Joint Conference on Neural Networks,IEEE,http://dblp.uni-trier.de/db/conf/ijcnn/
pricai,C,Conference,8,Pacific Rim International Conference on Artificial Intelligence,Springer,http://dblp.uni-trier.de/db/conf/pricai/
tochi,A,Journal,9,ACM Transactions on Computer-Human Interaction,ACM,http://dblp.uni-trier.de/db/journals/tochi/
ijhcs,A,Journal,9,International Journal of Human Computer Studies,Elsevier,http://dblp.uni-trier.de/db/journals/ijmms/
cscw,B,Journal,9,Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/journals/cscw/
hci,B,Journal,9,Human Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/hhci/
thms,B,Journal,9,IEEE Transactions on Human-Machine Systems,IEEE,http://dblp.uni-trier.de/db/journals/thms/
iwc,B,Journal,9,Interacting with Computers,Oxford University Press,http://dblp.uni-trier.de/db/journals/iwc/
ijhci,B,Journal,9,International Journal of Human-Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/ijhci/
umuai,B,Journal,9,User Modeling and User-Adapted Interaction,Springer,http://dblp.uni-trier.de/db/journals/umuai/
tsmc,B,Journal,9,IEEE Transactions on Systems Man and Cybernetics: Systems,IEEE,https://dblp.org/db/journals/tsmc/tsmc12.html
bit,C,Journal,9,Behaviour & Information Technology,Taylor & Francis,http://dblp.uni-trier.de/db/journals/behaviourIT/
puc,C,Journal,9,Personal and Ubiquitous Computing,Springer,http://dblp.uni-trier.de/db/journals/puc/
pmc,C,Journal,9,Pervasive and Mobile Computing,Elsevier,http://dblp.uni-trier.de/db/journals/percom/
pacmhci,C,Journal,9,Proceedings of the ACM on Human-Computer Computer Interaction,ACM,https://dblp.org/db/journals/pacmhci/index.html
cscw,A,Conference,9,ACM Conference on Computer Supported Cooperative Work and Social Computing,ACM,http://dblp.uni-trier.de/db/conf/cscw
chi,A,Conference,9,ACM Conference on Human Factors in Computing Systems,ACM,http://dblp.uni-trier.de/db/conf/chi
ubicomp,A,Conference,9,ACM International Conference on Ubiquitous Computing,ACM,http://dblp.uni-trier.de/db/conf/huc/
uist,A,Conference,9,ACM Symposium on User Interface Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/uist/
