key,level,type,category
journals/ijhci,B,Journal,9
journals/umuai,B,Journal,9
journals/behaviourIT,C,Journal,9
journals/puc,C,Journal,9
journals/percom,C,Journal,9
conf/cscw,A,Conference,9
conf/chi,A,Conference,9
conf/huc,A,Conference,9
conf/group,B,Conference,9
conf/iui,B,Conference,9
conf/tabletop,B,Conference,9
conf/uist,B,Conference,9
conf/ecscw,B,Conference,9
conf/percom,B,Conference,9
conf/mhci,B,Conference,9
conf/ACMdis,C,Conference,9
conf/icmi,C,Conference,9
conf/assets,C,Conference,9
conf/graphicsinterface,C,Conference,9
conf/uic,C,Conference,9
conf/haptics,C,Conference,9
conf/interact,C,Conference,9
conf/acmidc,C,Conference,9
collaboratecom.org,C,Conference,9
conf/cscwd,C,Conference,9
conf/coopis,C,Conference,9
conf/mobiquitous,C,Conference,9
conf/avi,C,Conference,9
journals/jacm,A ,Journal,10
journals/pieee,A ,Journal,10
journals/bioinformatics,B,Journal,10
journals/bib,B,Journal,10
journals.elsevier.com/cognition,B,Journal,10
journals/tase,B,Journal,10
journals/tgrs,B,Journal,10
journals/tits,B,Journal,10
journals/tmi,B,Journal,10
journals/trob,B,Journal,10
journals/tcbb,B,Journal,10
journals/jcst,B,Journal,10
journals/jamia,B,Journal,10
journals/ploscb,B,Journal,10
journals/chinaf,B,Journal,10
journals/cj,B,Journal,10
journals/11280,B,Journal,10
journals/bmcbi,C,Journal,10
journals/cas,C,Journal,10
journals/fcsc,C,Journal,10
journals/lgrs,C,Journal,10
journals/titb,C,Journal,10
journals/tbd,C,Journal,10
journals/iet-its,C,Journal,10
journals/jbi,C,Journal,10
journals/mia,C,Journal,10
conf/www,A,Conference,10
conf/rtss,A,Conference,10
conf/cogsci,B,Conference,10
conf/bibm,B,Conference,10
conf/emsoft,B,Conference,10
iscb.org/about-ismb,B,Conference,10
conf/recomb,B,Conference,10
conf/amia,C,Conference,10
conf/apbc,C,Conference,10
conf/bigdataconf,C,Conference,10
conf/IEEEcloud,C,Conference,10
conf/smc,C,Conference,10
conf/cosit,C,Conference,10
conf/isbra,C,Conference,10
